"PVWatts: Hourly PV Performance Data"
"Requested Location:","cairo"
"Location:","CAIRO, EGYPT"
"Lat (deg N):","30.13"
"Long (deg E):","31.4"
"Elev (m):","74"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","11.6","0","0","11.6","0","0"
"1","1","1","0","0","11.2","1","0","11.2","0","0"
"1","1","2","0","0","10.8","1.5","0","10.8","0","0"
"1","1","3","0","0","10.4","1.5","0","10.4","0","0"
"1","1","4","0","0","10","1.5","0","10","0","0"
"1","1","5","0","0","9.6","2.6","0","9.6","0","0"
"1","1","6","0","0","9","0","0","9","0","0"
"1","1","7","22","41","10.2","0","50.157","8.261","45.406","38.988"
"1","1","8","87","134","12","0","187.005","17.539","164.288","155.308"
"1","1","9","84","222","13","0.5","294.268","22.46","255.217","243.951"
"1","1","10","75","281","14.9","1","360.267","25.666","308.532","295.795"
"1","1","11","137","277","15","2.1","419.666","25.52","359.698","345.458"
"1","1","12","138","275","16","3.6","417.894","24.894","359.222","344.996"
"1","1","13","74","276","16.3","4.1","353.407","23.396","305.874","293.213"
"1","1","14","68","209","16","3.6","268.013","21.366","233.666","222.968"
"1","1","15","77","113","16","4.1","156.333","18.484","136.525","128.187"
"1","1","16","0","30","15.5","4.1","29.259","14.95","26.351","20.3"
"1","1","17","0","0","15","1.5","0","15","0","0"
"1","1","18","0","0","14","1.5","0","14","0","0"
"1","1","19","0","0","14.4","2.6","0","14.4","0","0"
"1","1","20","0","0","14","3.6","0","14","0","0"
"1","1","21","0","0","14","3.1","0","14","0","0"
"1","1","22","0","0","13.2","4.1","0","13.2","0","0"
"1","1","23","0","0","12","2.1","0","12","0","0"
"1","2","0","0","0","12","0","0","12","0","0"
"1","2","1","0","0","11","0","0","11","0","0"
"1","2","2","0","0","10","0","0","10","0","0"
"1","2","3","0","0","10.2","0.5","0","10.2","0","0"
"1","2","4","0","0","10.4","1","0","10.4","0","0"
"1","2","5","0","0","9","1","0","9","0","0"
"1","2","6","0","0","9","0","0","9","0","0"
"1","2","7","184","42","10.3","0","111.228","11.59","92.4","85.027"
"1","2","8","483","86","12","0","344.793","24.469","285.517","273.427"
"1","2","9","471","150","14","1.5","490.978","27.587","412.307","396.429"
"1","2","10","362","221","15.3","1","532.861","32.209","441.203","424.385"
"1","2","11","306","269","17","0.5","562.777","37.314","455.277","437.991"
"1","2","12","236","291","18","2.1","518.228","31.656","431.167","414.679"
"1","2","13","157","281","18","1.5","432.909","30.542","361.902","347.595"
"1","2","14","104","194","18","1.5","273.365","25.714","233.176","222.49"
"1","2","15","15","110","18","1","117.902","20.98","102.922","95.325"
"1","2","16","0","21","17.6","2.6","19.897","16.697","17.779","11.888"
"1","2","17","0","0","16","1.5","0","16","0","0"
"1","2","18","0","0","15","0.5","0","15","0","0"
"1","2","19","0","0","14.4","1","0","14.4","0","0"
"1","2","20","0","0","14","1.5","0","14","0","0"
"1","2","21","0","0","14","1.5","0","14","0","0"
"1","2","22","0","0","13.2","2.1","0","13.2","0","0"
"1","2","23","0","0","13","0.5","0","13","0","0"
"1","3","0","0","0","12","1","0","12","0","0"
"1","3","1","0","0","12.1","1","0","12.1","0","0"
"1","3","2","0","0","12","1.5","0","12","0","0"
"1","3","3","0","0","12","0.5","0","12","0","0"
"1","3","4","0","0","11.2","0.5","0","11.2","0","0"
"1","3","5","0","0","11","0.5","0","11","0","0"
"1","3","6","0","0","12","2.1","0","12","0","0"
"1","3","7","0","25","12.6","1.5","23.697","11.057","21.715","15.75"
"1","3","8","0","102","13","0.5","101.296","14.107","91.575","84.219"
"1","3","9","9","176","13.5","1","182.322","17.623","162.138","153.208"
"1","3","10","14","236","14","1.2","248.704","20.385","218.463","208.155"
"1","3","11","46","255","14.5","1.3","306.934","22.788","266.596","255.024"
"1","3","12","54","260","15","1.5","319.353","23.548","276.384","264.546"
"1","3","13","44","243","15.3","1.5","291.105","23.083","252.404","241.214"
"1","3","14","4","174","16","0","177.054","23.667","153.177","144.457"
"1","3","15","0","85","16","0.5","83.09","17.685","73.914","66.926"
"1","3","16","0","16","15.6","2.1","15.147","14.354","13.678","7.863"
"1","3","17","0","0","15","1.5","0","15","0","0"
"1","3","18","0","0","14","1.5","0","14","0","0"
"1","3","19","0","0","15.6","2.1","0","15.6","0","0"
"1","3","20","0","0","14","2.1","0","14","0","0"
"1","3","21","0","0","14","2.1","0","14","0","0"
"1","3","22","0","0","14.6","0.5","0","14.6","0","0"
"1","3","23","0","0","14","1","0","14","0","0"
"1","4","0","0","0","13.8","1.2","0","13.8","0","0"
"1","4","1","0","0","13.6","1.5","0","13.6","0","0"
"1","4","2","0","0","14","0.5","0","14","0","0"
"1","4","3","0","0","14","1","0","14","0","0"
"1","4","4","0","0","14","3.1","0","14","0","0"
"1","4","5","0","0","14","3.6","0","14","0","0"
"1","4","6","0","0","13","4.6","0","13","0","0"
"1","4","7","0","19","13","3.6","17.993","11.758","16.437","10.571"
"1","4","8","0","73","14","2.6","70.262","14.018","63.544","56.767"
"1","4","9","0","125","13","4.1","121.813","14.268","110.044","102.292"
"1","4","10","0","162","14","3.6","158.586","16.317","141.95","133.488"
"1","4","11","1","182","13","2.6","179.4","16.221","160.647","151.753"
"1","4","12","1","181","14","4.1","178.369","16.754","159.34","150.476"
"1","4","13","258","321","14","5.7","558.859","23.159","483.614","465.365"
"1","4","14","0","122","15","3.6","118.754","17.434","105.76","98.102"
"1","4","15","0","94","15","2.6","92.721","15.913","83.146","75.967"
"1","4","16","0","22","14.7","2.1","20.846","13.623","18.886","12.975"
