"PVWatts: Hourly PV Performance Data"
"Requested Location:","istanbul"
"Location:","ISTANBUL, TURKEY"
"Lat (deg N):","40.97"
"Long (deg E):","28.82"
"Elev (m):","37"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.10"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","5.4","2.6","0","5.4","0","0"
"1","1","1","0","0","5.3","2.6","0","5.3","0","0"
"1","1","2","0","0","5.2","2.1","0","5.2","0","0"
"1","1","3","0","0","5","0","0","5","0","0"
"1","1","4","0","0","4.9","0","0","4.9","0","0"
"1","1","5","0","0","4.8","0","0","4.8","0","0"
"1","1","6","0","0","5","0","0","5","0","0"
"1","1","7","0","6","5","0","5.819","1.023","5.568","0"
"1","1","8","108","58","5","2.6","108.199","5.849","96.829","89.362"
"1","1","9","288","103","6","0","275.643","15.857","240.97","230.081"
"1","1","10","349","140","8","0","391.831","23.707","335.099","321.593"
"1","1","11","482","146","9","0","527.106","30.257","438.694","421.959"
"1","1","12","618","119","9.5","1.5","601.85","27.021","508.475","489.359"
"1","1","13","720","77","10","3.1","585.764","23.836","499.513","480.711"
"1","1","14","432","101","10","3.6","373.29","18.305","323.344","310.181"
"1","1","15","123","75","9.7","3.1","138.359","12.282","121.756","113.748"
"1","1","16","0","11","9.4","2.6","10.415","8.157","9.666","3.925"
"1","1","17","0","0","9.2","3.1","0","9.2","0","0"
"1","1","18","0","0","9","3.6","0","9","0","0"
"1","1","19","0","0","8.3","2.1","0","8.3","0","0"
"1","1","20","0","0","8","1.5","0","8","0","0"
"1","1","21","0","0","8","4.1","0","8","0","0"
"1","1","22","0","0","8","3.1","0","8","0","0"
"1","1","23","0","0","8","2.6","0","8","0","0"
"1","2","0","0","0","8","0","0","8","0","0"
"1","2","1","0","0","8.4","3.6","0","8.4","0","0"
"1","2","2","0","0","9","4.1","0","9","0","0"
"1","2","3","0","0","9","5.1","0","9","0","0"
"1","2","4","0","0","9.2","6.7","0","9.2","0","0"
"1","2","5","0","0","9.6","5.9","0","9.6","0","0"
"1","2","6","0","0","10","5.1","0","10","0","0"
"1","2","7","0","4","10","5.7","3.879","8.78","3.591","0"
"1","2","8","0","47","10","5.1","46.975","9.52","43.337","36.96"
"1","2","9","9","107","10","5.1","113.714","10.892","104.078","96.456"
"1","2","10","16","146","10.1","5.1","158.495","11.974","144.461","135.941"
"1","2","11","21","172","11","4.1","189.85","13.928","171.608","162.454"
"1","2","12","21","175","11","3.6","193.075","14.248","174.286","165.068"
"1","2","13","18","155","11","3.1","169.402","13.864","153.129","144.41"
"1","2","14","0","109","11","3.1","109.451","12.344","99.727","92.198"
"1","2","15","0","49","9","6.7","47.362","8.727","43.847","37.46"
"1","2","16","0","7","7.8","7.2","6.621","6.819","6.18","0.503"
