"PVWatts: Hourly PV Performance Data"
"Requested Location:","jakarta"
"Location:","SINGAPORE, SINGAPORE"
"Lat (deg N):","1.37"
"Long (deg E):","103.98"
"Elev (m):","16"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","24.7","3.2","0","24.7","0","0"
"1","1","1","0","0","24.4","4.1","0","24.4","0","0"
"1","1","2","0","0","24.2","3.1","0","24.2","0","0"
"1","1","3","0","0","24.1","2","0","24.1","0","0"
"1","1","4","0","0","24.1","1","0","24.1","0","0"
"1","1","5","0","0","24","0.7","0","24","0","0"
"1","1","6","0","0","24.2","0.3","0","24.2","0","0"
"1","1","7","0","18","24.3","0","17.052","21.639","14.897","9.059"
"1","1","8","70","130","25.5","1.5","163.274","28.513","135.997","127.671"
"1","1","9","125","252","26.8","3.1","342.099","33.811","280.608","268.654"
"1","1","10","110","387","28","4.6","482.586","37.263","390.753","375.557"
"1","1","11","121","471","26.8","3.1","591.308","40.229","472.055","454.202"
"1","1","12","122","521","25.5","1.5","651.726","44.064","510.259","491.079"
"1","1","13","122","526","24.3","0","657.799","50.483","497.949","479.202"
"1","1","14","121","486","25.4","1.5","609.279","43.069","479.439","461.334"
"1","1","15","93","424","26.5","3.1","510.414","38.395","411.116","395.276"
"1","1","16","121","285","27.6","4.6","372.357","34.928","304.262","291.646"
"1","1","17","84","159","27.1","3.9","203.075","31.039","167.674","158.614"
"1","1","18","0","40","26.6","3.3","38.637","26.613","32.976","26.799"
"1","1","19","0","0","26.1","2.6","0","26.1","0","0"
"1","1","20","0","0","25.8","2.4","0","25.8","0","0"
"1","1","21","0","0","25.6","2.3","0","25.6","0","0"
"1","1","22","0","0","25.3","2.1","0","25.3","0","0"
"1","1","23","0","0","25.1","2.2","0","25.1","0","0"
"1","2","0","0","0","24.8","2.3","0","24.8","0","0"
"1","2","1","0","0","24.6","2.4","0","24.6","0","0"
"1","2","2","0","0","24.6","1.5","0","24.6","0","0"
"1","2","3","0","0","24.6","0.7","0","24.6","0","0"
"1","2","4","0","0","24.6","0","0","24.6","0","0"
"1","2","5","0","0","24.8","0","0","24.8","0","0"
"1","2","6","0","0","25","0","0","25","0","0"
"1","2","7","0","18","25.2","0","17.053","22.66","14.826","8.99"
"1","2","8","69","129","25.9","1","161.647","29.167","134.216","125.929"
"1","2","9","124","251","26.7","2.1","340.168","34.533","278.026","266.143"
"1","2","10","109","386","27.4","3.1","480.54","37.996","387.67","372.571"
"1","2","11","120","471","28.2","4.1","590.223","40.417","470.74","452.932"
"1","2","12","121","521","28.9","5.2","650.61","41.096","517.19","497.764"
"1","2","13","215","442","29.7","6.2","671.736","41.137","533.874","513.85"
"1","2","14","121","487","29.1","6.3","610.306","39.401","489.296","470.85"
"1","2","15","93","425","28.6","6.4","511.437","37.056","414.711","398.756"
"1","2","16","99","298","28","6.4","371.361","33.964","305.081","292.442"
"1","2","17","84","160","27.5","6.5","204.163","30.428","169.094","160"
"1","2","18","0","41","26.9","6.6","39.65","26.852","33.802","27.609"
"1","2","19","0","0","26.4","6.7","0","26.4","0","0"
"1","2","20","0","0","26.2","6.5","0","26.2","0","0"
"1","2","21","0","0","26.1","6.4","0","26.1","0","0"
"1","2","22","0","0","25.9","6.2","0","25.9","0","0"
"1","2","23","0","0","25.7","5.4","0","25.7","0","0"
"1","3","0","0","0","25.6","4.6","0","25.6","0","0"
"1","3","1","0","0","25.4","3.8","0","25.4","0","0"
"1","3","2","0","0","25.2","3.1","0","25.2","0","0"
"1","3","3","0","0","25.1","2.3","0","25.1","0","0"
"1","3","4","0","0","24.9","1.5","0","24.9","0","0"
"1","3","5","0","0","25.1","1.9","0","25.1","0","0"
"1","3","6","0","0","25.3","2.2","0","25.3","0","0"
"1","3","7","0","17","25.5","2.6","16.103","24.383","13.888","8.07"
"1","3","8","122","131","26.8","4","191.14","29.717","157.045","148.235"
"1","3","9","314","223","28","5.3","436.865","35.463","353.64","339.583"
"1","3","10","490","262","29.3","6.7","678.228","40.068","540.387","520.126"
"1","3","11","599","286","30.1","6.9","864.805","43.951","677.127","651.569"
"1","3","12","680","282","30.8","7","984.18","46.635","760.293","731.203"
"1","3","13","749","246","31.6","7.2","1022.509","47.897","784.712","754.54"
"1","3","14","684","254","30.9","7.2","930.028","45.779","721.483","694.071"
"1","3","15","613","225","30.2","7.2","765.908","42.403","603.518","580.891"
"1","3","16","436","216","29.5","7.2","535.744","37.906","429.219","412.794"
"1","3","17","219","156","28.6","6.3","276.429","33.046","223.602","213.162"
"1","3","18","0","48","27.6","5.5","47.215","27.833","40.064","33.751"
"1","3","19","0","0","26.7","4.6","0","26.7","0","0"
"1","3","20","0","0","26.5","4.8","0","26.5","0","0"
"1","3","21","0","0","26.2","4.9","0","26.2","0","0"
"1","3","22","0","0","26","5.1","0","26","0","0"
"1","3","23","0","0","25.9","5.1","0","25.9","0","0"
"1","4","0","0","0","25.9","5.1","0","25.9","0","0"
"1","4","1","0","0","25.8","5.1","0","25.8","0","0"
"1","4","2","0","0","25.7","3.9","0","25.7","0","0"
"1","4","3","0","0","25.7","2.7","0","25.7","0","0"
"1","4","4","0","0","25.6","1.5","0","25.6","0","0"
"1","4","5","0","0","25.5","2.4","0","25.5","0","0"
"1","4","6","0","0","25.5","3.2","0","25.5","0","0"
"1","4","7","0","6","25.4","4.1","5.672","24.226","4.896","0"
"1","4","8","0","94","26.6","4.3","91.044","27.307","77.449","70.388"
"1","4","9","78","222","27.7","4.4","273.338","32.392","225.991","215.49"
"1","4","10","163","347","28.9","4.6","489.505","38.197","394.327","379.019"
"1","4","11","120","470","29.2","5.5","588.81","39.737","471.228","453.404"
"1","4","12","121","522","29.4","6.3","651.397","40.302","519.905","500.382"
"1","4","13","215","443","29.7","7.2","672.7","40.146","537.334","517.184"
"1","4","14","121","489","29.2","6.6","612.328","39.244","491.306","472.791"
"1","4","15","93","427","28.6","6","513.452","37.44","415.554","399.572"
"1","4","16","100","301","28.1","5.4","375.23","34.814","306.988","294.296"
"1","4","17","85","162","27.6","4.8","206.812","31.233","170.648","161.517"
"1","4","18","0","43","27","4.2","41.675","27.066","35.492","29.267"
"1","4","19","0","0","26.5","3.6","0","26.5","0","0"
"1","4","20","0","0","26.3","3.4","0","26.3","0","0"
"1","4","21","0","0","26.1","3.3","0","26.1","0","0"
"1","4","22","0","0","25.9","3.1","0","25.9","0","0"
"1","4","23","0","0","25.8","3.4","0","25.8","0","0"
"1","5","0","0","0","25.7","3.8","0","25.7","0","0"
"1","5","1","0","0","25.6","4.1","0","25.6","0","0"
"1","5","2","0","0","25.5","3.8","0","25.5","0","0"
"1","5","3","0","0","25.4","3.4","0","25.4","0","0"
"1","5","4","0","0","25.3","3.1","0","25.3","0","0"
"1","5","5","0","0","25.2","2.8","0","25.2","0","0"
"1","5","6","0","0","25.1","2.4","0","25.1","0","0"
"1","5","7","0","17","25","2.1","16.103","23.779","13.928","8.109"
"1","5","8","67","127","26.4","3.5","158.298","28.691","131.708","123.478"
"1","5","9","124","249","27.8","4.8","337.318","33.661","276.83","264.979"
"1","5","10","109","385","29.2","6.2","478.91","36.941","388.383","373.262"
"1","5","11","121","471","29.7","6.9","590.611","38.918","474.622","456.681"
"1","5","12","122","522","30.1","7.5","652.236","39.916","521.594","502.011"
"1","5","13","216","443","30.6","8.2","673.645","40.25","537.806","517.639"
"1","5","14","96","414","30.2","8.4","509.27","37.352","412.514","396.629"
"1","5","15","21","299","29.8","8.5","309.379","33.898","254.894","243.637"
"1","5","16","0","137","29.4","8.7","131.44","30.758","109.98","102.23"
"1","5","17","0","124","28.5","7.2","120.428","29.68","101.29","93.728"
"1","5","18","0","37","27.5","5.6","35.265","27.284","30.002","23.882"
"1","5","19","0","0","26.6","4.1","0","26.6","0","0"
"1","5","20","0","0","26.4","3.8","0","26.4","0","0"
"1","5","21","0","0","26.2","3.4","0","26.2","0","0"
"1","5","22","0","0","26","3.1","0","26","0","0"
"1","5","23","0","0","25.8","2.7","0","25.8","0","0"
"1","6","0","0","0","25.6","2.2","0","25.6","0","0"
"1","6","1","0","0","25.4","1.8","0","25.4","0","0"
"1","6","2","0","0","25.2","1.4","0","25.2","0","0"
"1","6","3","0","0","25","0.9","0","25","0","0"
"1","6","4","0","0","24.8","0.5","0","24.8","0","0"
"1","6","5","0","0","24.8","0.5","0","24.8","0","0"
"1","6","6","0","0","24.9","0.5","0","24.9","0","0"
"1","6","7","0","17","24.9","0.5","16.103","23.03","13.977","8.157"
"1","6","8","66","126","26.4","1.5","156.667","29.244","130.001","121.809"
"1","6","9","123","248","28","2.6","335.371","35.238","273.095","261.346"
"1","6","10","108","384","29.5","3.6","476.839","39.511","381.752","366.837"
"1","6","11","120","470","29.6","4.3","588.43","41.576","466.549","448.883"
"1","6","12","122","522","29.8","5","652.075","42.312","515.149","495.796"
"1","6","13","217","443","29.9","5.7","674.584","41.984","533.828","513.805"
"1","6","14","122","491","29.7","6.5","615.26","39.899","492.031","473.49"
"1","6","15","93","430","29.4","7.4","516.498","37.209","418.507","402.43"
"1","6","16","100","303","29.2","8.2","377.298","34.386","309.349","296.589"
"1","6","17","87","165","28.3","7","211.027","31.217","174.155","164.94"
"1","6","18","0","45","27.4","5.8","43.697","27.459","37.145","30.888"
"1","6","19","0","0","26.5","4.6","0","26.5","0","0"
"1","6","20","0","0","26.2","4.3","0","26.2","0","0"
"1","6","21","0","0","26","3.9","0","26","0","0"
"1","6","22","0","0","25.7","3.6","0","25.7","0","0"
"1","6","23","0","0","25.5","3.8","0","25.5","0","0"
"1","7","0","0","0","25.2","3.9","0","25.2","0","0"
"1","7","1","0","0","25","4.1","0","25","0","0"
"1","7","2","0","0","25","2.7","0","25","0","0"
"1","7","3","0","0","25","1.4","0","25","0","0"
