"PVWatts: Hourly PV Performance Data"
"Requested Location:","sau paolo"
"Location:","SAO PAULO/CONGONHAS, BRAZIL"
"Lat (deg S):","23.62"
"Long (deg W):","46.65"
"Elev (m):","803"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","22","3","0","22","0","0"
"1","1","1","0","0","21","2","0","21","0","0"
"1","1","2","0","0","21","0","0","21","0","0"
"1","1","3","0","0","21","0","0","21","0","0"
"1","1","4","0","0","20.5","2","0","20.5","0","0"
"1","1","5","6","10","20","3","10.722","18.65","9.16","3.429"
"1","1","6","36","58","20","2","68.724","20.075","58.893","52.209"
"1","1","7","5","177","20","2","173.36","23.127","150.284","141.63"
"1","1","8","131","252","21","3","335.49","27.905","283.22","271.193"
"1","1","9","112","365","21","2","445.318","32.215","369.547","355.008"
"1","1","10","317","439","22","4.1","707.807","36.64","574.987","553.446"
"1","1","11","239","366","21","4.1","579.728","33.478","478.57","460.494"
"1","1","12","360","333","20","4.1","665.82","34.048","548.093","527.55"
"1","1","13","134","312","20","5.1","424.43","28.017","359.701","345.461"
"1","1","14","260","277","20","5.1","487.59","28.849","411.009","395.173"
"1","1","15","278","357","19","6.1","551.41","28.114","465.145","447.527"
"1","1","16","56","178","19","5.1","204.986","22.589","177.253","167.964"
"1","1","17","24","150","19","5.1","157.621","21.116","137.15","128.798"
"1","1","18","29","27","19","4.1","36.095","18.666","30.384","24.256"
"1","1","19","0","0","18","5.1","0","18","0","0"
"1","1","20","0","0","18","7.2","0","18","0","0"
"1","1","21","0","0","18","3","0","18","0","0"
"1","1","22","0","0","18","5.1","0","18","0","0"
"1","1","23","0","0","18","4.1","0","18","0","0"
"1","2","0","0","0","18","4.1","0","18","0","0"
"1","2","1","0","0","18","7.7","0","18","0","0"
"1","2","2","0","0","17","5.1","0","17","0","0"
"1","2","3","0","0","17","4.6","0","17","0","0"
"1","2","4","0","0","17","4.8","0","17","0","0"
"1","2","5","3","10","17","5.1","10.127","15.946","8.91","3.183"
"1","2","6","38","128","17","4.6","147.397","18.661","128.852","120.686"
"1","2","7","186","204","17","4.1","298.843","22.356","255.745","244.465"
"1","2","8","114","210","17","5.1","282.491","21.657","245.525","234.516"
"1","2","9","217","312","17","4.1","479.422","26.528","408.453","392.699"
"1","2","10","311","447","17","5.1","709.762","30.172","595.12","572.816"
"1","2","11","214","264","16.7","4","457.739","26.725","390.343","375.161"
"1","2","12","190","296","16.5","3","467.646","27.241","397.851","382.433"
"1","2","13","143","336","16.2","6.1","455.594","23.588","394.267","378.961"
"1","2","14","201","498","16","9.2","649.743","24.263","560.137","539.15"
"1","2","15","56","209","15.3","7.1","241.607","18.769","213.421","203.241"
