"PVWatts: Hourly PV Performance Data"
"Requested Location:","stockholm"
"Location:","STOCKHOLM/ARLANDA, SWEDEN"
"Lat (deg N):","59.65"
"Long (deg E):","17.95"
"Elev (m):","61"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4","6.7","0","4","0","0"
"1","1","1","0","0","5.3","7.6","0","5.3","0","0"
"1","1","2","0","0","6.2","8.4","0","6.2","0","0"
"1","1","3","0","0","6.8","9.3","0","6.8","0","0"
"1","1","4","0","0","7.2","10","0","7.2","0","0"
"1","1","5","0","0","7.5","10.6","0","7.5","0","0"
"1","1","6","0","0","7.5","11.3","0","7.5","0","0"
"1","1","7","0","0","6.7","10.4","0","6.7","0","0"
"1","1","8","0","0","6","9.6","0","6","0","0"
"1","1","9","0","17","5.2","8.7","17.131","4.429","16.157","10.296"
"1","1","10","30","45","5.2","8.4","72.259","5.214","66.86","60.016"
"1","1","11","225","44","5.2","8","177.989","6.826","159.37","150.505"
"1","1","12","159","49","5.2","7.7","146.304","6.486","131.845","123.612"
"1","1","13","114","31","4.6","8.2","95.569","5.062","85.565","78.335"
"1","1","14","0","10","4.1","8.8","9.698","3.303","9.191","3.459"
"1","1","15","0","0","3.5","9.3","0","3.5","0","0"
"1","1","16","0","0","3.2","8.9","0","3.2","0","0"
"1","1","17","0","0","2.9","8.6","0","2.9","0","0"
"1","1","18","0","0","2.6","8.2","0","2.6","0","0"
"1","1","19","0","0","2.5","8","0","2.5","0","0"
"1","1","20","0","0","2.4","7.9","0","2.4","0","0"
"1","1","21","0","0","2.3","7.7","0","2.3","0","0"
"1","1","22","0","0","2.3","8.2","0","2.3","0","0"
"1","1","23","0","0","2.2","8.8","0","2.2","0","0"
"1","2","0","0","0","2.2","9.3","0","2.2","0","0"
"1","2","1","0","0","2.2","9.5","0","2.2","0","0"
"1","2","2","0","0","2.1","9.6","0","2.1","0","0"
"1","2","3","0","0","2.1","9.8","0","2.1","0","0"
"1","2","4","0","0","2.1","10","0","2.1","0","0"
"1","2","5","0","0","2","10.1","0","2","0","0"
"1","2","6","0","0","2","10.3","0","2","0","0"
"1","2","7","0","0","2","8.8","0","2","0","0"
"1","2","8","0","0","1.9","7.2","0","1.9","0","0"
"1","2","9","0","19","1.9","5.7","19.857","0.9","19.011","13.097"
"1","2","10","33","47","1.9","6","77.109","1.974","72.309","65.354"
"1","2","11","223","44","1.9","6.4","177.174","3.746","160.816","151.917"
"1","2","12","155","50","1.9","6.7","146.038","3.293","133.567","125.295"
